Log-Kategorie,Ordner,Dateiname,Datum,Zeit,Severity,Type/Source,Description
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:12.737,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_LOOP_5476x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_LOOP_5476x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:12.738,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_LOOP_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:20.737,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:20.738,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_OUT_5476x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_OUT_5476x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:20.738,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_OUT_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_OUT_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:20.738,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_OUT_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_OUT_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:20.739,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_OUT_5476x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_OUT_5476x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:44.753,error,3583x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_IN_5760x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:44.753,error,3583x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_LOOP_5760x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,09:19:44.753,error,3583x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_OUT_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_OUT_5760x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,10:58:40.179,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_IN_5760x1416_202510032056.mov' failed,
pixera_logs,,rx_log-2.txt,Wed 08.Oct. ,10:58:50.298,error,30x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202510032056.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,15:34:31.793,warning,"invalid projection matrix (LRTB: 0, 0, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,16:31:58.362,error,updating render task failed: importing texture memory failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,17:16:40.850,error,decoding 'D:/RX-Cache-Preview/RX-Cache-Preview/D%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP1_STILL.jpg' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,17:16:40.850,error,decoding 'D:/RX-Cache-Preview/RX-Cache-Preview/D%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP4_STILL.jpg' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,17:16:40.850,error,decoding 'D:/RX-Cache-Preview/RX-Cache-Preview/D%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP6_STILL.jpg' failed,
