Log-Kategorie,Ordner,Dateiname,Fehler-Kategorie,Datum,Zeit,Severity,Type/Source,Description
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,01:39:18.948,error,12x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_OUT_5760x1416_202510032056.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,01:39:18.948,error,3966x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP6_TERA_LOOP_5476x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP6_TERA_LOOP_5476x1416_202510032056.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,09:18:59.721,error,loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_IN_5760x1416_202510032056.mov' failed,
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,09:19:44.753,error,3583x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP5_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP5_TERA_IN_5760x1416_202510032056.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Wed 08.Oct. ,10:58:50.298,error,30x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP4_TERA_IN_5760x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP4_TERA_IN_5760x1416_202510032056.mov' failed',
pixera_logs,,file_8.txt,Sonstige,Thu 09.Oct. ,15:34:31.793,warning,"invalid projection matrix (LRTB: 0, 0, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,file_8.txt,Sonstige,Thu 09.Oct. ,16:31:58.362,error,updating render task failed: importing texture memory failed,
pixera_logs,,file_8.txt,Media,Thu 09.Oct. ,17:16:40.850,error,decoding 'Data/...%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP1_STILL.jpg' failed,
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:04:16.129,error,3547x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP5_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP5_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:08:16.363,error,210x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:09:16.423,error,3330x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:09:16.423,error,3588x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:14:16.713,error,3576x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP4_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP4_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:14:16.713,error,7176x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:19:17.013,error,504x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:19:35.508,error,3084x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:20:17.068,error,3534x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:24:17.291,error,5952x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:25:17.354,error,1182x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP5_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP5_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:54:19.083,error,6577x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Netzwerk,Thu 09.Oct. ,20:55:19.139,error,534x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed',
pixera_logs,,file_8.txt,Media,Fri 17.Oct. ,01:56:09.343,error,2x similar to 'decoding 'Data/...%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP6_STILL.jpg' failed',
pixera_logs,,file_8.txt,Media,Fri 17.Oct. ,03:29:36.454,error,7x similar to 'decoding 'Data/...%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP6_STILL.jpg' failed',
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:13:40.554,warning,"invalid projection matrix (LRTB: -0.0487481, -0.0487481, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: -7.50716e-05, -7.50716e-05, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: 0.0678019, 0.0678019, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: 8.12691e-05, 8.12691e-05, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:13:40.564,warning,"invalid projection matrix (LRTB: -7.53298e-05, -7.53298e-05, 0, 0 / Z-NF: 10, 5e+13)",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:14:26.470,warning,"335x similar to 'invalid projection matrix (LRTB: -0.0487481, -0.0487481, 0, 0 / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:14:26.470,warning,"335x similar to 'invalid projection matrix (LRTB: 8.12691e-05, 8.12691e-05, 0, 0 / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:14:26.470,warning,"675x similar to 'invalid projection matrix (LRTB: -7.53298e-05, -7.53298e-05, 0, 0 / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:14:26.470,warning,"675x similar to 'invalid projection matrix (LRTB: 0.0678022, 0.0678022, 0, 0 / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:16:08.416,warning,"invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+13)",
pixera_logs,,file_9.txt,Sonstige,Fri 26.Sep. ,14:16:26.585,warning,"1434x similar to 'invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Media,Wed 01.Oct. ,12:23:20.600,error,6x similar to 'decoding 'Data/...%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP5_WALL_5760x1416_202510011022_00_00_00_01.jpg' failed',
pixera_logs,,file_9.txt,Media,Wed 01.Oct. ,12:26:20.773,error,4x similar to 'decoding 'Data/...%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP3_WALL_5476x1416_202510011022_00_00_00_01.jpg' failed',
pixera_logs,,file_9.txt,Media,Wed 01.Oct. ,12:27:20.828,error,5x similar to 'decoding 'Data/...%3A\GH_Integration_v1\WALL_B\full_wrap_YO\GH_DP1_WALL_5760x1416_202510011022_00_00_00_01.jpg' failed',
pixera_logs,,file_9.txt,Sonstige,Fri 03.Oct. ,08:31:16.929,error,loading '<?>Content/.../*.png' failed: opening file 'Content/.../*.png' failed,
pixera_logs,,file_9.txt,Sonstige,Fri 03.Oct. ,08:31:57.759,error,7x similar to 'loading '<?>Content/.../*.mov' failed: opening file 'Content/.../*.mov' failed',
pixera_logs,,file_9.txt,Sonstige,Fri 03.Oct. ,20:10:23.174,error,511x similar to 'loading '<?>Data/.../*.mov' failed: opening file 'Data/.../*.mov' failed',
pixera_logs,,file_9.txt,Sonstige,Sat 04.Oct. ,00:34:54.101,error,loading '<?>Content/...[00000-00898].mp4' failed: opening file 'Content/...[00000-00898].mp4' failed,
pixera_logs,,file_9.txt,Sonstige,Sat 04.Oct. ,00:34:54.101,error,loading '<?>Content/...[00000-00898].mp4' failed: opening file 'Content/...[00000-00898].mp4' failed,
pixera_logs,,file_9.txt,Sonstige,Sat 04.Oct. ,00:34:54.101,error,loading '<?>Content/...[00000-00898].mp4' failed: opening file 'Content/...[00000-00898].mp4' failed,
pixera_logs,,file_9.txt,Sonstige,Sat 04.Oct. ,00:34:54.101,error,loading '<?>Content/...[00000-00898].mp4' failed: opening file 'Content/...[00000-00898].mp4' failed,
pixera_logs,,file_9.txt,Sonstige,Sat 04.Oct. ,00:34:54.101,error,loading '<?>Content/...[00000-00898].mp4' failed: opening file 'Content/...[00000-00898].mp4' failed,
pixera_logs,,file_9.txt,Sonstige,Sat 04.Oct. ,00:35:38.850,error,5x similar to 'loading '<?>Content/...[00000-00898].mp4' failed: opening file 'Content/...[00000-00898].mp4' failed',
pixera_logs,,file_9.txt,Sonstige,Mon 06.Oct. ,17:19:48.455,warning,"invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+17)",
pixera_logs,,file_9.txt,Sonstige,Mon 06.Oct. ,17:20:32.745,warning,"4264x similar to 'invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Sonstige,Mon 06.Oct. ,17:21:32.802,warning,"3739x similar to 'invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Sonstige,Mon 06.Oct. ,17:22:32.857,warning,"171x similar to 'invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Sonstige,Mon 06.Oct. ,19:33:05.834,error,15x similar to 'loading '<?>Content/.../*.mov' failed: opening file 'Content/.../*.mov' failed',
pixera_logs,,file_9.txt,Netzwerk,Mon 06.Oct. ,19:33:05.834,error,15x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP6_FOLI_5476x1416_202501310302.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP6_FOLI_5476x1416_202501310302.mov' failed',
pixera_logs,,file_9.txt,Sonstige,Mon 06.Oct. ,19:39:33.113,warning,"1299x similar to 'invalid projection matrix (LRTB: -nan(ind), -nan(ind), -nan(ind), -nan(ind) / Z-NF: 10, 5e+13)'",
pixera_logs,,file_9.txt,Netzwerk,Mon 06.Oct. ,22:02:17.953,error,7x similar to 'loading '<?>\\10.0.0.8\share_0\cms-media\GH_DP4_TERA_LOOP_5760x1416_202510032056.mov' failed: opening file '\\10.0.0.8\share_0\cms-media\GH_DP4_TERA_LOOP_5760x1416_202510032056.mov' failed',
